App,Category_google,Rating_google,Reviews_google,Size_google,Installs,Type,Price_google,Content Rating_google,Last Updated,Size_apple,currency,Price_apple,Reviews_apple,Rating_apple,Content Rating_apple,Category_apple,Reviews
Infinite Painter,ART_AND_DESIGN,4.1,36815,29000.0,1000000.0,Free,0.0,Everyone,14-Jun-18,22405120,USD,0.0,65,4.0,4+,Productivity,36815
Indeed Job Search,BUSINESS,4.3,674730,,50000000.0,Free,0.0,Everyone,21-May-18,3691520,USD,0.0,38681,4.0,4+,Business,674730
Uber Driver,BUSINESS,4.4,1254730,,10000000.0,Free,0.0,Everyone,3-Aug-18,162263040,USD,0.0,3289,3.0,4+,Business,1254730
ADP Mobile Solutions,BUSINESS,4.3,85185,29000.0,5000000.0,Free,0.0,Everyone,17-Jul-18,53805056,USD,0.0,8324,4.0,4+,Business,85185
WhatsApp Messenger,COMMUNICATION,4.4,69119316,,1000000000.0,Free,0.0,Everyone,3-Aug-18,135044096,USD,0.0,287589,4.5,4+,Social Networking,69119316
WhatsApp Messenger,COMMUNICATION,4.4,69119316,,1000000000.0,Free,0.0,Everyone,3-Aug-18,135044096,USD,0.0,287589,4.5,4+,Social Networking,69119316
WhatsApp Messenger,COMMUNICATION,4.4,69109672,,1000000000.0,Free,0.0,Everyone,3-Aug-18,135044096,USD,0.0,287589,4.5,4+,Social Networking,69109672
Hangouts,COMMUNICATION,4.0,3419249,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419249
Hangouts,COMMUNICATION,4.0,3419433,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419433
Hangouts,COMMUNICATION,4.0,3419513,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419513
Hangouts,COMMUNICATION,4.0,3419464,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419464
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4000.0,1000000.0,Free,0.0,Everyone,6-Jul-18,15081472,USD,0.0,477,4.0,17+,Utilities,36880
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4000.0,1000000.0,Free,0.0,Everyone,6-Jul-18,15081472,USD,0.0,477,4.0,17+,Utilities,36893
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36981,4000.0,1000000.0,Free,0.0,Everyone,6-Jul-18,15081472,USD,0.0,477,4.0,17+,Utilities,36981
