Category,Free,Paid
ART AND DESIGN,59,3
AUTO AND VEHICLES,72,1
BEAUTY,42,0
BOOKS AND REFERENCE,170,8
BUSINESS,292,11
COMICS,58,0
COMMUNICATION,306,22
DATING,191,4
EDUCATION,151,4
ENTERTAINMENT,147,2
EVENTS,45,0
FAMILY,1585,162
FINANCE,310,13
FOOD AND DRINK,107,2
GAME,1020,77
HEALTH AND FITNESS,285,12
HOUSE AND HOME,76,0
LIBRARIES AND DEMO,65,0
LIFESTYLE,296,18
MAPS AND NAVIGATION,119,5
MEDICAL,262,88
NEWS AND MAGAZINES,231,2
PARENTING,48,2
PERSONALIZATION,247,67
PHOTOGRAPHY,299,18
PRODUCTIVITY,333,18
SHOPPING,236,2
SOCIAL,257,2
SPORTS,297,22
TOOLS,671,63
TRAVEL AND LOCAL,218,8
VIDEO PLAYERS,156,4
WEATHER,68,7
